Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,159.33,164.34,159.0,160.11,1313224,160.11
2018-02-06,154.52,161.84,154.03,160.56,1900163,160.56
2018-02-05,165.77,167.62,159.83,160.39,1739273,160.39
2018-02-02,169.99,171.05,166.8,167.5,1095363,167.5
2018-02-01,168.61,171.17,168.22,171.08,1172450,171.08
2018-01-31,172.67,173.79,167.44,168.7,1458786,168.7
2018-01-30,175.99,176.87,171.84,172.01,1190613,172.01
2018-01-29,179.54,180.99,177.08,177.45,887730,177.45
2018-01-26,173.77,179.93,172.7,179.84,1487325,179.84
2018-01-25,179.41,180.3367,172.41,173.13,1920083,173.13
2018-01-24,179.29,180.52,177.215,180.31,1537097,180.31
2018-01-23,177.27,178.76,176.27,178.31,1142111,178.31
2018-01-22,178.9,179.285,176.81,177.94,1131821,177.94
2018-01-19,178.01,180.42,177.04,178.81,1246706,178.81
2018-01-18,178.5,180.9,177.23,177.57,752584,177.57
2018-01-17,177.47,179.27,175.66,178.47,1202439,178.47
2018-01-16,183.59,183.9,176.89,177.31,1618534,177.31
2018-01-12,179.64,182.37,178.75,182.04,1153204,182.04
2018-01-11,176.62,179.41,176.33,178.98,726764,178.98
2018-01-10,173.92,176.08,173.44,175.83,901852,175.83
2018-01-09,172.97,176.17,172.89,174.08,1639414,174.08
2018-01-08,170.38,172.27,169.23,172.0,1006302,172.0
2018-01-05,170.32,170.475,169.65,170.27,819234,170.27
2018-01-04,169.74,171.41,169.6,169.69,870171,169.69
2018-01-03,169.95,170.19,168.67,169.07,798721,169.07
2018-01-02,170.64,170.72,168.85,169.91,812370,169.91
2017-12-29,171.76,172.42,169.4,169.47,619732,169.47
2017-12-28,171.16,171.8591,170.75,171.61,443715,171.61
2017-12-27,171.43,171.47,170.63,170.94,539328,170.94
2017-12-26,171.8,172.51,170.92,171.1,415010,171.1
2017-12-22,172.45,172.63,170.41,171.51,426402,171.51
2017-12-21,172.07,173.22,171.34,171.7,824673,171.7
2017-12-20,173.365,173.62,170.63,171.1,768432,171.1
2017-12-19,170.865,171.95,170.18,171.33,863813,171.33
2017-12-18,169.475,171.09,169.1,170.02,882561,170.02
2017-12-15,166.0,169.03,165.655,167.93,1335616,167.93
2017-12-14,167.36,167.615,165.07,165.45,649242,165.45
2017-12-13,168.06,168.37,166.42,166.42,846565,166.42
2017-12-12,168.23,169.605,167.93,168.6,831892,168.6
2017-12-11,169.45,170.35,167.66,167.78,737959,167.78
2017-12-08,168.19,169.94,167.39,169.86,886222,169.86
2017-12-07,164.17,168.29,164.0,167.6,804044,167.6
2017-12-06,163.93,166.455,163.9287,164.77,649475,164.77
2017-12-05,165.49,166.31,163.9,164.36,980040,164.36
2017-12-04,165.06,166.99,164.93,165.55,1030111,165.55
2017-12-01,163.32,164.13,157.73,162.47,1098520,162.47
2017-11-30,164.31,166.135,162.98,163.23,1538635,163.23
2017-11-29,162.99,166.04,162.905,163.56,951029,163.56
2017-11-28,159.93,162.37,159.32,161.75,1335856,161.75
2017-11-27,159.97,161.26,159.03,159.25,1133655,159.25
2017-11-24,160.4,160.4,159.055,159.56,181287,159.56
2017-11-22,159.95,160.89,158.96,159.58,438413,159.58
2017-11-21,161.22,161.45,158.96,159.76,529366,159.76
2017-11-20,158.36,160.69,157.8,160.65,792840,160.65
2017-11-17,156.56,158.84,156.56,158.28,640362,158.28
2017-11-16,158.51,158.92,156.71,157.08,800949,157.08
2017-11-15,155.88,158.7484,155.27,157.39,768568,157.39
2017-11-14,156.18,157.33,155.07,157.11,686327,157.11
2017-11-13,156.05,157.77,155.5255,157.32,580451,157.32
2017-11-10,158.93,159.65,157.09,157.22,580089,157.22
2017-11-09,158.91,160.245,157.57,159.05,662850,159.05
2017-11-08,158.92,160.1,158.38,159.99,511899,159.99
2017-11-07,160.75,161.98,158.79,159.23,675682,159.23
2017-11-06,159.28,161.27,159.28,160.65,595955,160.65
2017-11-03,159.55,160.69,159.11,159.59,755423,159.59
2017-11-02,157.66,160.58,157.66,160.56,1225608,160.56
2017-11-01,157.72,158.62,156.73,157.38,567549,157.38
2017-10-31,158.36,158.865,156.54,156.54,624542,156.54
2017-10-30,160.37,160.77,157.95,158.3,894927,158.3
2017-10-27,162.4,162.57,160.18,160.62,736639,160.62
2017-10-26,158.07,163.04,157.54,162.8,1514536,162.8
2017-10-25,156.15,159.57,154.24,157.08,1258387,157.08
2017-10-24,154.98,155.26,153.5,153.97,1459389,153.97
2017-10-23,154.29,154.75,153.9,154.18,746158,154.18
